 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

      10000          3.58          0.41          2.59          0.05          0.11
      11000          4.33          0.53          3.06          0.05          0.11
      12000          5.15          0.68          3.57          0.05          0.11
      13000          6.04          0.85          4.12          0.05          0.11
      13999          7.00          1.04          4.69          0.05          0.11
      15000          8.11          1.56          6.55          0.06          0.11
      16000          9.35          2.39          9.43          0.07          0.11
      17000         10.69          3.60         13.35          0.09          0.12
      18000         12.24          6.22         21.79          0.13          0.12
      20000         15.62         11.91         37.54          0.19          0.12
      22000         18.96         14.96         42.85          0.17          0.12


                       10x7.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.06          0.12
       2000          0.15          0.00          0.12          0.06          0.12
       3000          0.34          0.01          0.26          0.06          0.12
       4000          0.60          0.03          0.46          0.06          0.12
       5000          0.94          0.06          0.71          0.06          0.12
       6000          1.36          0.09          0.98          0.05          0.12
       7000          1.85          0.14          1.29          0.05          0.12
       8000          2.43          0.24          1.90          0.06          0.12
       9000          3.12          0.44          3.08          0.08          0.12
      10000          3.90          0.73          4.61          0.09          0.12
      11000          4.79          1.14          6.54          0.11          0.12
      12000          5.77          1.70          8.95          0.12          0.13
      13000          6.86          2.46         11.93          0.14          0.13
      13999          8.07          3.46         15.57          0.16          0.13
      15000          9.39          4.77         20.04          0.18          0.13
      16000         10.59          5.42         21.36          0.16          0.13
      17000         11.85          6.01         22.28          0.15          0.13
      18000         13.19          6.73         23.56          0.14          0.13
      19000         14.84         10.13         33.61          0.18          0.13
      20000         16.04          8.34         26.29          0.13          0.13
      21000         17.27          6.74         20.23          0.09          0.12


                       10x7E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.05          0.12
       2000          0.15          0.00          0.11          0.05          0.12
       3000          0.33          0.01          0.25          0.05          0.12
       4000          0.59          0.03          0.44          0.05          0.12
       5000          0.93          0.06          0.69          0.05          0.12
       6000          1.33          0.09          0.98          0.05          0.12
       7000          1.81          0.14          1.29          0.05          0.12
       8000          2.36          0.21          1.63          0.05          0.12
       9000          2.99          0.29          2.06          0.05          0.12
      10000          3.75          0.52          3.28          0.06          0.12
      11000          4.60          0.84          4.82          0.08          0.12
      12000          5.55          1.29          6.76          0.09          0.12
      13000          6.61          1.89          9.18          0.11          0.12
      13999          7.76          2.70         12.15          0.12          0.12
      15000          9.03          3.75         15.77          0.14          0.13
      16000         10.42          5.14         20.26          0.16          0.13
      17000         11.94          6.96         25.82          0.18          0.13
      18000         13.52          9.23         32.31          0.20          0.13
      19000         15.28         13.98         46.38          0.25          0.13
      20000         16.61         14.01         44.14          0.22          0.13
      21000         18.23         15.97         47.92          0.21          0.13
      22000         19.15         11.46         32.82          0.13          0.12
      23000         21.24         16.08         44.07          0.16          0.13
      24000         22.04         10.62         27.88          0.10          0.12


                       10x7SF.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.20          0.01          0.17          0.09          0.16
       3000          0.45          0.02          0.40          0.09          0.16
       4000          0.80          0.04          0.69          0.09          0.16
       5000          1.25          0.08          1.04          0.08          0.16
       6000          1.80          0.14          1.49          0.08          0.16
       7000          2.49          0.29          2.64          0.11          0.16
       8000          3.31          0.53          4.20          0.13          0.16
       9000          4.26          0.89          6.21          0.15          0.17
      10000          5.33          1.39          8.78          0.17          0.17
      11000          6.53          2.07         11.85          0.19          0.17
      12000          7.83          2.85         14.98          0.21          0.17
      13000          9.06          3.26         15.78          0.18          0.17
      13999         10.35          3.58         16.12          0.16          0.17
      15000         11.70          3.81         16.00          0.14          0.16
      16000         13.10          3.87         15.23          0.12          0.16
      17000         14.56          3.68         13.63          0.09          0.16
      18000         16.21          3.98         13.93          0.08          0.16
      19000         18.12          4.86         16.13          0.09          0.16


                       10x8.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

